;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
#TITLE;Zubehör-Konfigurator;Accessories Configurator;Configurateur d'accessoires;Configurador de accesorios;Configuratore de accessori;Accessoires configurator;Tillbehörsdesigner;Configurador de acessórios
;Identity-Modul:;Identity-Module:;Module d'identification;Módulo de identificación:;Modulo identity:;Identiteit-module:;Identifieringsmodul;Módulo de identificação:
#LOGOLINE1;Original BMW;Genuine BMW;Accessories BMW;Accesorios;Accessori ;Original BMW;Original BMW;Original BMW.
#LOGOLINE2;;;d´origine;Originales BMW;Originali BMW;Accessoires;Tillbehör;
#LOGOLINE3;Zubehör;Accessories;;;;;;Acessórios
;Hinweis;Notice;Attention;Advertencia;Osservazione;Opmerking;Hänvisning;Observação
;Programm beenden?;Quit program?;Quitter?;Salir del programa?;Terminare programma?;Programma beëindigen?;Avsluta program?;Terminar o programa?
#END;Beenden;Quit;Quitter;Salir;Terminare;Beëindigen;Avsluta;Terminar
;Neu;New;Nouveauté;Nuevo;Nuovo;Nieuw;Ny;Novo
;Hilfe;Help;Aide;Ayuda;Aiuto;Help;Hjälp;Ajuda
;Fehler;Error;Erreur;Error;Errore;Fout;Error;Defeitos
;Ja;Yes;Qui;Si;Si;Ja;Yes;Sim
;Nein;No;Non;No;No;Nee;No;Não
#EXIT;Beenden;Quit;Quitter;Salir;Terminare;Beëindigen;Avsluta ;Terminar
;Beenden;Quit;Quitter;Salir;Terminare;Beëindigen;Avsluta ;Terminar
#schliessen;schliessen;close;Fermer;Cerrar;Chiudere;Sluiten ;Stäng;fechar
